mod_value: 1.0, TT: 0, h: 1.0, FP: 398, FN: 1371, FPR: 0.22111111111111112, FNR: 0.7616666666666667
mod_value: 1.0, TT: 0, h: 1.5, FP: 144, FN: 1607, FPR: 0.08, FNR: 0.8927777777777778
mod_value: 1.0, TT: 0, h: 2.0, FP: 96, FN: 1670, FPR: 0.05333333333333334, FNR: 0.9277777777777778
mod_value: 1.0, TT: 0, h: 2.5, FP: 59, FN: 1715, FPR: 0.03277777777777778, FNR: 0.9527777777777777
mod_value: 1.0, TT: 0, h: 3.0, FP: 47, FN: 1739, FPR: 0.026111111111111113, FNR: 0.9661111111111111
mod_value: 1.0, TT: 0, h: 3.5, FP: 30, FN: 1757, FPR: 0.016666666666666666, FNR: 0.9761111111111112
mod_value: 1.0, TT: 0, h: 4.0, FP: 21, FN: 1771, FPR: 0.011666666666666667, FNR: 0.9838888888888889
mod_value: 1.0, TT: 0, h: 4.5, FP: 18, FN: 1773, FPR: 0.01, FNR: 0.985
mod_value: 1.0, TT: 0, h: 5.0, FP: 16, FN: 1778, FPR: 0.008888888888888889, FNR: 0.9877777777777778
mod_value: 1.0, TT: 0, h: 5.5, FP: 12, FN: 1785, FPR: 0.006666666666666667, FNR: 0.9916666666666667
mod_value: 1.0, TT: 0, h: 6.0, FP: 10, FN: 1790, FPR: 0.005555555555555556, FNR: 0.9944444444444445
mod_value: 1.0, TT: 0, h: 6.5, FP: 8, FN: 1794, FPR: 0.0044444444444444444, FNR: 0.9966666666666667
mod_value: 1.0, TT: 0, h: 7.0, FP: 4, FN: 1799, FPR: 0.0022222222222222222, FNR: 0.9994444444444445
mod_value: 1.0, TT: 0, h: 7.5, FP: 3, FN: 1799, FPR: 0.0016666666666666668, FNR: 0.9994444444444445
mod_value: 1.0, TT: 0, h: 8.0, FP: 1, FN: 1799, FPR: 0.0005555555555555556, FNR: 0.9994444444444445


mod_value: 1.1, TT: 0, h: 1.0, FP: 398, FN: 904, FPR: 0.22111111111111112, FNR: 0.5022222222222222
mod_value: 1.1, TT: 0, h: 1.5, FP: 144, FN: 1205, FPR: 0.08, FNR: 0.6694444444444444
mod_value: 1.1, TT: 0, h: 2.0, FP: 96, FN: 1367, FPR: 0.05333333333333334, FNR: 0.7594444444444445
mod_value: 1.1, TT: 0, h: 2.5, FP: 59, FN: 1475, FPR: 0.03277777777777778, FNR: 0.8194444444444444
mod_value: 1.1, TT: 0, h: 3.0, FP: 47, FN: 1565, FPR: 0.026111111111111113, FNR: 0.8694444444444445
mod_value: 1.1, TT: 0, h: 3.5, FP: 30, FN: 1618, FPR: 0.016666666666666666, FNR: 0.8988888888888888
mod_value: 1.1, TT: 0, h: 4.0, FP: 21, FN: 1670, FPR: 0.011666666666666667, FNR: 0.9277777777777778
mod_value: 1.1, TT: 0, h: 4.5, FP: 18, FN: 1694, FPR: 0.01, FNR: 0.9411111111111111
mod_value: 1.1, TT: 0, h: 5.0, FP: 16, FN: 1709, FPR: 0.008888888888888889, FNR: 0.9494444444444444
mod_value: 1.1, TT: 0, h: 5.5, FP: 12, FN: 1722, FPR: 0.006666666666666667, FNR: 0.9566666666666667
mod_value: 1.1, TT: 0, h: 6.0, FP: 10, FN: 1742, FPR: 0.005555555555555556, FNR: 0.9677777777777777
mod_value: 1.1, TT: 0, h: 6.5, FP: 8, FN: 1753, FPR: 0.0044444444444444444, FNR: 0.9738888888888889
mod_value: 1.1, TT: 0, h: 7.0, FP: 4, FN: 1768, FPR: 0.0022222222222222222, FNR: 0.9822222222222222
