mod_value: 1.2, TT: 22, h: 1.0, FP: 417, FN: 158, FPR: 0.20252549781447304, FNR: 0.08777777777777777
mod_value: 1.2, TT: 21, h: 1.5, FP: 180, FN: 328, FPR: 0.1089588377723971, FNR: 0.18222222222222223
mod_value: 1.2, TT: 22, h: 2.0, FP: 127, FN: 543, FPR: 0.09176300578034682, FNR: 0.3016666666666667
mod_value: 1.2, TT: 22, h: 2.5, FP: 76, FN: 793, FPR: 0.07017543859649122, FNR: 0.44055555555555553
mod_value: 1.2, TT: 22, h: 3.0, FP: 56, FN: 1045, FPR: 0.0690505548705302, FNR: 0.5805555555555556
mod_value: 1.2, TT: 22, h: 3.5, FP: 40, FN: 1213, FPR: 0.06379585326953748, FNR: 0.6738888888888889
mod_value: 1.2, TT: 22, h: 4.0, FP: 26, FN: 1336, FPR: 0.053061224489795916, FNR: 0.7422222222222222
mod_value: 1.2, TT: 22, h: 4.5, FP: 25, FN: 1454, FPR: 0.0673854447439353, FNR: 0.8077777777777778
mod_value: 1.2, TT: 22, h: 5.0, FP: 19, FN: 1515, FPR: 0.0625, FNR: 0.8416666666666667
mod_value: 1.2, TT: 22, h: 5.5, FP: 15, FN: 1566, FPR: 0.060240963855421686, FNR: 0.87
mod_value: 1.2, TT: 22, h: 6.0, FP: 9, FN: 1612, FPR: 0.04568527918781726, FNR: 0.8955555555555555
mod_value: 1.2, TT: 22, h: 6.5, FP: 7, FN: 1655, FPR: 0.046052631578947366, FNR: 0.9194444444444444
mod_value: 1.2, TT: 22, h: 7.0, FP: 3, FN: 1684, FPR: 0.025210084033613446, FNR: 0.9355555555555556
mod_value: 1.2, TT: 22, h: 7.5, FP: 2, FN: 1693, FPR: 0.01834862385321101, FNR: 0.9405555555555556
mod_value: 1.2, TT: 22, h: 8.0, FP: 0, FN: 1702, FPR: 0.0, FNR: 0.9455555555555556


mod_value: 1.3, TT: 22, h: 1.0, FP: 417, FN: 18, FPR: 0.18963165075034105, FNR: 0.01
mod_value: 1.3, TT: 22, h: 1.5, FP: 180, FN: 28, FPR: 0.09221311475409837, FNR: 0.015555555555555555
mod_value: 1.3, TT: 22, h: 2.0, FP: 127, FN: 56, FPR: 0.06787814003206841, FNR: 0.03111111111111111
mod_value: 1.3, TT: 22, h: 2.5, FP: 76, FN: 119, FPR: 0.043255549231644846, FNR: 0.0661111111111111
mod_value: 1.3, TT: 22, h: 3.0, FP: 56, FN: 266, FPR: 0.03522012578616352, FNR: 0.14777777777777779
mod_value: 1.3, TT: 22, h: 3.5, FP: 40, FN: 450, FPR: 0.02877697841726619, FNR: 0.25
mod_value: 1.3, TT: 22, h: 4.0, FP: 26, FN: 657, FPR: 0.022241231822070145, FNR: 0.365
mod_value: 1.3, TT: 22, h: 4.5, FP: 25, FN: 889, FPR: 0.026709401709401708, FNR: 0.4938888888888889
mod_value: 1.3, TT: 22, h: 5.0, FP: 19, FN: 1078, FPR: 0.02564102564102564, FNR: 0.5988888888888889
mod_value: 1.3, TT: 22, h: 5.5, FP: 15, FN: 1210, FPR: 0.024793388429752067, FNR: 0.6722222222222223
mod_value: 1.3, TT: 22, h: 6.0, FP: 9, FN: 1319, FPR: 0.018367346938775512, FNR: 0.7327777777777778
mod_value: 1.3, TT: 26, h: 6.5, FP: 7, FN: 1418, FPR: 0.017994858611825194, FNR: 0.7877777777777778
mod_value: 1.3, TT: 27, h: 7.0, FP: 3, FN: 1476, FPR: 0.009174311926605505, FNR: 0.82
mod_value: 1.3, TT: 26, h: 7.5, FP: 2, FN: 1515, FPR: 0.006968641114982578, FNR: 0.8416666666666667
mod_value: 1.3, TT: 27, h: 8.0, FP: 0, FN: 1546, FPR: 0.0, FNR: 0.8588888888888889


mod_value: 1.4000000000000001, TT: 27, h: 1.0, FP: 417, FN: 1, FPR: 0.18817689530685922, FNR: 0.0005555555555555556
mod_value: 1.4000000000000001, TT: 26, h: 1.5, FP: 180, FN: 2, FPR: 0.0910010111223458, FNR: 0.0011111111111111111
mod_value: 1.4000000000000001, TT: 26, h: 2.0, FP: 127, FN: 7, FPR: 0.06614583333333333, FNR: 0.0038888888888888888
mod_value: 1.4000000000000001, TT: 26, h: 2.5, FP: 76, FN: 14, FPR: 0.04081632653061224, FNR: 0.0077777777777777776
mod_value: 1.4000000000000001, TT: 28, h: 3.0, FP: 56, FN: 20, FPR: 0.030501089324618737, FNR: 0.011111111111111112
mod_value: 1.4000000000000001, TT: 28, h: 3.5, FP: 40, FN: 40, FPR: 0.022222222222222223, FNR: 0.022222222222222223
mod_value: 1.4000000000000001, TT: 28, h: 4.0, FP: 26, FN: 95, FPR: 0.015020219526285385, FNR: 0.05277777777777778
mod_value: 1.4000000000000001, TT: 27, h: 4.5, FP: 25, FN: 215, FPR: 0.015527950310559006, FNR: 0.11944444444444445
mod_value: 1.4000000000000001, TT: 28, h: 5.0, FP: 19, FN: 370, FPR: 0.013112491373360938, FNR: 0.20555555555555555
mod_value: 1.4000000000000001, TT: 27, h: 5.5, FP: 15, FN: 561, FPR: 0.011961722488038277, FNR: 0.31166666666666665
mod_value: 1.4000000000000001, TT: 27, h: 6.0, FP: 9, FN: 762, FPR: 0.008595988538681949, FNR: 0.42333333333333334
mod_value: 1.4000000000000001, TT: 27, h: 6.5, FP: 7, FN: 962, FPR: 0.008284023668639054, FNR: 0.5344444444444445
mod_value: 1.4000000000000001, TT: 27, h: 7.0, FP: 3, FN: 1101, FPR: 0.004273504273504274, FNR: 0.6116666666666667
mod_value: 1.4000000000000001, TT: 27, h: 7.5, FP: 2, FN: 1210, FPR: 0.0033783783783783786, FNR: 0.6722222222222223
mod_value: 1.4000000000000001, TT: 25, h: 8.0, FP: 0, FN: 1303, FPR: 0.0, FNR: 0.7238888888888889


mod_value: 1.5000000000000002, TT: 25, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 1.5000000000000002, TT: 30, h: 1.5, FP: 180, FN: 1, FPR: 0.09095502779181405, FNR: 0.0005555555555555556
mod_value: 1.5000000000000002, TT: 29, h: 2.0, FP: 127, FN: 1, FPR: 0.06593977154724819, FNR: 0.0005555555555555556
mod_value: 1.5000000000000002, TT: 33, h: 2.5, FP: 76, FN: 1, FPR: 0.04053333333333333, FNR: 0.0005555555555555556
mod_value: 1.5000000000000002, TT: 32, h: 3.0, FP: 56, FN: 2, FPR: 0.030204962243797196, FNR: 0.0011111111111111111
mod_value: 1.5000000000000002, TT: 28, h: 3.5, FP: 40, FN: 5, FPR: 0.021798365122615803, FNR: 0.002777777777777778
mod_value: 1.5000000000000002, TT: 29, h: 4.0, FP: 26, FN: 12, FPR: 0.014332965821389196, FNR: 0.006666666666666667
mod_value: 1.5000000000000002, TT: 26, h: 4.5, FP: 25, FN: 18, FPR: 0.01383508577753182, FNR: 0.01
mod_value: 1.5000000000000002, TT: 25, h: 5.0, FP: 19, FN: 32, FPR: 0.010632344711807499, FNR: 0.017777777777777778
mod_value: 1.5000000000000002, TT: 25, h: 5.5, FP: 15, FN: 78, FPR: 0.008635578583765112, FNR: 0.043333333333333335
mod_value: 1.5000000000000002, TT: 24, h: 6.0, FP: 9, FN: 172, FPR: 0.005497861942577886, FNR: 0.09555555555555556
mod_value: 1.5000000000000002, TT: 32, h: 6.5, FP: 7, FN: 303, FPR: 0.004654255319148936, FNR: 0.16833333333333333
mod_value: 1.5000000000000002, TT: 30, h: 7.0, FP: 3, FN: 472, FPR: 0.002253944402704733, FNR: 0.26222222222222225
mod_value: 1.5000000000000002, TT: 29, h: 7.5, FP: 2, FN: 657, FPR: 0.0017467248908296944, FNR: 0.365
mod_value: 1.5000000000000002, TT: 25, h: 8.0, FP: 0, FN: 837, FPR: 0.0, FNR: 0.465


mod_value: 1.6000000000000003, TT: 28, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 1.6000000000000003, TT: 27, h: 1.5, FP: 180, FN: 0, FPR: 0.09090909090909091, FNR: 0.0
mod_value: 1.6000000000000003, TT: 27, h: 2.0, FP: 127, FN: 0, FPR: 0.065905552672548, FNR: 0.0
mod_value: 1.6000000000000003, TT: 24, h: 2.5, FP: 76, FN: 0, FPR: 0.04051172707889126, FNR: 0.0
mod_value: 1.6000000000000003, TT: 28, h: 3.0, FP: 56, FN: 0, FPR: 0.03017241379310345, FNR: 0.0
mod_value: 1.6000000000000003, TT: 29, h: 3.5, FP: 40, FN: 1, FPR: 0.021750951604132682, FNR: 0.0005555555555555556
mod_value: 1.6000000000000003, TT: 28, h: 4.0, FP: 26, FN: 1, FPR: 0.014246575342465753, FNR: 0.0005555555555555556
mod_value: 1.6000000000000003, TT: 27, h: 4.5, FP: 25, FN: 2, FPR: 0.013713658804168952, FNR: 0.0011111111111111111
mod_value: 1.6000000000000003, TT: 28, h: 5.0, FP: 19, FN: 5, FPR: 0.010474090407938258, FNR: 0.002777777777777778
mod_value: 1.6000000000000003, TT: 28, h: 5.5, FP: 15, FN: 10, FPR: 0.008310249307479225, FNR: 0.005555555555555556
mod_value: 1.6000000000000003, TT: 28, h: 6.0, FP: 9, FN: 16, FPR: 0.0050195203569436695, FNR: 0.008888888888888889
mod_value: 1.6000000000000003, TT: 28, h: 6.5, FP: 7, FN: 30, FPR: 0.0039392234102419805, FNR: 0.016666666666666666
mod_value: 1.6000000000000003, TT: 28, h: 7.0, FP: 3, FN: 70, FPR: 0.0017311021350259665, FNR: 0.03888888888888889
mod_value: 1.6000000000000003, TT: 28, h: 7.5, FP: 2, FN: 154, FPR: 0.0012135922330097086, FNR: 0.08555555555555555
mod_value: 1.6000000000000003, TT: 28, h: 8.0, FP: 0, FN: 270, FPR: 0.0, FNR: 0.15


mod_value: 1.7000000000000004, TT: 28, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 1.7000000000000004, TT: 29, h: 1.5, FP: 180, FN: 0, FPR: 0.09090909090909091, FNR: 0.0
mod_value: 1.7000000000000004, TT: 28, h: 2.0, FP: 127, FN: 0, FPR: 0.065905552672548, FNR: 0.0
mod_value: 1.7000000000000004, TT: 29, h: 2.5, FP: 76, FN: 0, FPR: 0.04051172707889126, FNR: 0.0
mod_value: 1.7000000000000004, TT: 30, h: 3.0, FP: 56, FN: 0, FPR: 0.03017241379310345, FNR: 0.0
mod_value: 1.7000000000000004, TT: 31, h: 3.5, FP: 40, FN: 0, FPR: 0.021739130434782608, FNR: 0.0
mod_value: 1.7000000000000004, TT: 29, h: 4.0, FP: 26, FN: 0, FPR: 0.014238773274917854, FNR: 0.0
mod_value: 1.7000000000000004, TT: 25, h: 4.5, FP: 25, FN: 0, FPR: 0.0136986301369863, FNR: 0.0
mod_value: 1.7000000000000004, TT: 26, h: 5.0, FP: 19, FN: 1, FPR: 0.010451045104510451, FNR: 0.0005555555555555556
mod_value: 1.7000000000000004, TT: 26, h: 5.5, FP: 15, FN: 1, FPR: 0.008269018743109152, FNR: 0.0005555555555555556
mod_value: 1.7000000000000004, TT: 29, h: 6.0, FP: 9, FN: 2, FPR: 0.004980630879911455, FNR: 0.0011111111111111111
mod_value: 1.7000000000000004, TT: 23, h: 6.5, FP: 7, FN: 5, FPR: 0.00388457269700333, FNR: 0.002777777777777778
mod_value: 1.7000000000000004, TT: 22, h: 7.0, FP: 3, FN: 11, FPR: 0.0016741071428571428, FNR: 0.006111111111111111
mod_value: 1.7000000000000004, TT: 22, h: 7.5, FP: 2, FN: 15, FPR: 0.001119194180190263, FNR: 0.008333333333333333
mod_value: 1.7000000000000004, TT: 22, h: 8.0, FP: 0, FN: 29, FPR: 0.0, FNR: 0.01611111111111111


mod_value: 1.8000000000000005, TT: 22, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 1.8000000000000005, TT: 23, h: 1.5, FP: 180, FN: 0, FPR: 0.09090909090909091, FNR: 0.0
