mod_value: 1.2, TT: 0, h: 1.0, FP: 417, FN: 165, FPR: 0.20321637426900585, FNR: 0.09166666666666666
mod_value: 1.2, TT: 0, h: 1.5, FP: 179, FN: 325, FPR: 0.10822249093107618, FNR: 0.18055555555555555
mod_value: 1.2, TT: 0, h: 2.0, FP: 115, FN: 557, FPR: 0.08468335787923417, FNR: 0.30944444444444447
mod_value: 1.2, TT: 0, h: 2.5, FP: 74, FN: 786, FPR: 0.06801470588235294, FNR: 0.43666666666666665
mod_value: 1.2, TT: 0, h: 3.0, FP: 50, FN: 1030, FPR: 0.06097560975609756, FNR: 0.5722222222222222
mod_value: 1.2, TT: 0, h: 3.5, FP: 30, FN: 1215, FPR: 0.04878048780487805, FNR: 0.675
mod_value: 1.2, TT: 0, h: 4.0, FP: 21, FN: 1368, FPR: 0.046357615894039736, FNR: 0.76
mod_value: 1.2, TT: 0, h: 4.5, FP: 19, FN: 1461, FPR: 0.05307262569832402, FNR: 0.8116666666666666
mod_value: 1.2, TT: 0, h: 5.0, FP: 16, FN: 1522, FPR: 0.05442176870748299, FNR: 0.8455555555555555
mod_value: 1.2, TT: 0, h: 5.5, FP: 11, FN: 1576, FPR: 0.04680851063829787, FNR: 0.8755555555555555
mod_value: 1.2, TT: 0, h: 6.0, FP: 9, FN: 1613, FPR: 0.04591836734693878, FNR: 0.8961111111111111
mod_value: 1.2, TT: 0, h: 6.5, FP: 6, FN: 1647, FPR: 0.03773584905660377, FNR: 0.915
mod_value: 1.2, TT: 0, h: 7.0, FP: 2, FN: 1674, FPR: 0.015625, FNR: 0.93
mod_value: 1.2, TT: 0, h: 7.5, FP: 2, FN: 1698, FPR: 0.019230769230769232, FNR: 0.9433333333333334
mod_value: 1.2, TT: 0, h: 8.0, FP: 1, FN: 1712, FPR: 0.011235955056179775, FNR: 0.9511111111111111
{}


mod_value: 1.3, TT: 0, h: 1.0, FP: 417, FN: 14, FPR: 0.18928733545165682, FNR: 0.0077777777777777776
mod_value: 1.3, TT: 0, h: 1.5, FP: 179, FN: 24, FPR: 0.09156010230179028, FNR: 0.013333333333333334
mod_value: 1.3, TT: 0, h: 2.0, FP: 115, FN: 62, FPR: 0.062061521856449, FNR: 0.034444444444444444
mod_value: 1.3, TT: 0, h: 2.5, FP: 74, FN: 130, FPR: 0.04243119266055046, FNR: 0.07222222222222222
mod_value: 1.3, TT: 0, h: 3.0, FP: 50, FN: 248, FPR: 0.031210986267166042, FNR: 0.13777777777777778
mod_value: 1.3, TT: 0, h: 3.5, FP: 30, FN: 444, FPR: 0.021645021645021644, FNR: 0.24666666666666667
mod_value: 1.3, TT: 0, h: 4.0, FP: 21, FN: 670, FPR: 0.018245004344048653, FNR: 0.37222222222222223
mod_value: 1.3, TT: 0, h: 4.5, FP: 19, FN: 878, FPR: 0.020191285866099893, FNR: 0.48777777777777775
mod_value: 1.3, TT: 0, h: 5.0, FP: 16, FN: 1076, FPR: 0.021621621621621623, FNR: 0.5977777777777777
mod_value: 1.3, TT: 0, h: 5.5, FP: 11, FN: 1227, FPR: 0.018835616438356163, FNR: 0.6816666666666666
mod_value: 1.3, TT: 0, h: 6.0, FP: 9, FN: 1339, FPR: 0.019148936170212766, FNR: 0.7438888888888889
mod_value: 1.3, TT: 0, h: 6.5, FP: 6, FN: 1426, FPR: 0.015789473684210527, FNR: 0.7922222222222223
mod_value: 1.3, TT: 0, h: 7.0, FP: 2, FN: 1487, FPR: 0.006349206349206349, FNR: 0.8261111111111111
mod_value: 1.3, TT: 0, h: 7.5, FP: 2, FN: 1525, FPR: 0.007220216606498195, FNR: 0.8472222222222222
mod_value: 1.3, TT: 0, h: 8.0, FP: 1, FN: 1562, FPR: 0.0041841004184100415, FNR: 0.8677777777777778
{}


mod_value: 1.4000000000000001, TT: 0, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 1.4000000000000001, TT: 0, h: 1.5, FP: 179, FN: 0, FPR: 0.09044972208185953, FNR: 0.0
mod_value: 1.4000000000000001, TT: 0, h: 2.0, FP: 115, FN: 7, FPR: 0.06027253668763103, FNR: 0.0038888888888888888
mod_value: 1.4000000000000001, TT: 0, h: 2.5, FP: 74, FN: 13, FPR: 0.039763567974207416, FNR: 0.007222222222222222
mod_value: 1.4000000000000001, TT: 0, h: 3.0, FP: 50, FN: 18, FPR: 0.027292576419213975, FNR: 0.01
mod_value: 1.4000000000000001, TT: 0, h: 3.5, FP: 30, FN: 44, FPR: 0.0167973124300112, FNR: 0.024444444444444446
mod_value: 1.4000000000000001, TT: 0, h: 4.0, FP: 21, FN: 111, FPR: 0.012280701754385965, FNR: 0.06166666666666667
mod_value: 1.4000000000000001, TT: 0, h: 4.5, FP: 19, FN: 203, FPR: 0.011757425742574257, FNR: 0.11277777777777778
mod_value: 1.4000000000000001, TT: 0, h: 5.0, FP: 16, FN: 368, FPR: 0.011049723756906077, FNR: 0.20444444444444446
mod_value: 1.4000000000000001, TT: 0, h: 5.5, FP: 11, FN: 571, FPR: 0.008870967741935484, FNR: 0.31722222222222224
mod_value: 1.4000000000000001, TT: 0, h: 6.0, FP: 9, FN: 755, FPR: 0.008538899430740038, FNR: 0.41944444444444445
mod_value: 1.4000000000000001, TT: 0, h: 6.5, FP: 6, FN: 950, FPR: 0.007009345794392523, FNR: 0.5277777777777778
mod_value: 1.4000000000000001, TT: 0, h: 7.0, FP: 2, FN: 1103, FPR: 0.002861230329041488, FNR: 0.6127777777777778
mod_value: 1.4000000000000001, TT: 0, h: 7.5, FP: 2, FN: 1223, FPR: 0.0034542314335060447, FNR: 0.6794444444444444
mod_value: 1.4000000000000001, TT: 0, h: 8.0, FP: 1, FN: 1314, FPR: 0.002053388090349076, FNR: 0.73
{}


mod_value: 1.5000000000000002, TT: 0, h: 1.0, FP: 417, FN: 0, FPR: 0.1880920162381597, FNR: 0.0
mod_value: 1.5000000000000002, TT: 0, h: 1.5, FP: 179, FN: 0, FPR: 0.09044972208185953, FNR: 0.0
mod_value: 1.5000000000000002, TT: 0, h: 2.0, FP: 115, FN: 0, FPR: 0.06005221932114883, FNR: 0.0
mod_value: 1.5000000000000002, TT: 0, h: 2.5, FP: 74, FN: 0, FPR: 0.03948772678762007, FNR: 0.0
mod_value: 1.5000000000000002, TT: 0, h: 3.0, FP: 50, FN: 0, FPR: 0.02702702702702703, FNR: 0.0
mod_value: 1.5000000000000002, TT: 0, h: 3.5, FP: 30, FN: 3, FPR: 0.016420361247947456, FNR: 0.0016666666666666668
mod_value: 1.5000000000000002, TT: 0, h: 4.0, FP: 21, FN: 12, FPR: 0.011608623548922056, FNR: 0.006666666666666667
mod_value: 1.5000000000000002, TT: 0, h: 4.5, FP: 19, FN: 21, FPR: 0.010567296996662959, FNR: 0.011666666666666667
mod_value: 1.5000000000000002, TT: 0, h: 5.0, FP: 16, FN: 36, FPR: 0.008988764044943821, FNR: 0.02
mod_value: 1.5000000000000002, TT: 0, h: 5.5, FP: 11, FN: 85, FPR: 0.006373117033603708, FNR: 0.04722222222222222
mod_value: 1.5000000000000002, TT: 0, h: 6.0, FP: 9, FN: 163, FPR: 0.0054678007290400975, FNR: 0.09055555555555556
