    changepoint_prior_scale  seasonality_prior_scale      rmse
0   0.0090                   0.50                     0.386389
1   0.0090                   0.51                     0.386389
2   0.0090                   0.52                     0.386389
3   0.0090                   0.53                     0.386389
4   0.0090                   0.54                     0.386389
5   0.0090                   0.55                     0.386389
6   0.0090                   0.56                     0.386389
7   0.0090                   0.57                     0.386389
8   0.0090                   0.58                     0.386389
9   0.0091                   0.50                     0.388901
10  0.0091                   0.51                     0.388901
11  0.0091                   0.52                     0.388901
12  0.0091                   0.53                     0.388901
13  0.0091                   0.54                     0.388901
14  0.0091                   0.55                     0.388901
15  0.0091                   0.56                     0.388901
16  0.0091                   0.57                     0.388901
17  0.0091                   0.58                     0.388901
18  0.0092                   0.50                     0.388338
19  0.0092                   0.51                     0.388338
20  0.0092                   0.52                     0.388338
21  0.0092                   0.53                     0.388338
22  0.0092                   0.54                     0.388338
23  0.0092                   0.55                     0.388338
24  0.0092                   0.56                     0.388338
25  0.0092                   0.57                     0.388338
26  0.0092                   0.58                     0.388338
27  0.0093                   0.50                     0.385905
28  0.0093                   0.51                     0.385905
29  0.0093                   0.52                     0.385905
30  0.0093                   0.53                     0.385905
31  0.0093                   0.54                     0.385905
32  0.0093                   0.55                     0.385905
33  0.0093                   0.56                     0.385905
34  0.0093                   0.57                     0.385905
35  0.0093                   0.58                     0.385905
36  0.0094                   0.50                     0.386188
37  0.0094                   0.51                     0.386188
38  0.0094                   0.52                     0.386188
39  0.0094                   0.53                     0.386188
40  0.0094                   0.54                     0.386188
41  0.0094                   0.55                     0.386188
42  0.0094                   0.56                     0.386188
43  0.0094                   0.57                     0.386188
44  0.0094                   0.58                     0.386188
45  0.0095                   0.50                     0.387674
46  0.0095                   0.51                     0.387674
47  0.0095                   0.52                     0.387674
48  0.0095                   0.53                     0.387674
49  0.0095                   0.54                     0.387674
50  0.0095                   0.55                     0.387674
51  0.0095                   0.56                     0.387674
52  0.0095                   0.57                     0.387674
53  0.0095                   0.58                     0.387674
54  0.0096                   0.50                     0.386303
55  0.0096                   0.51                     0.386303
56  0.0096                   0.52                     0.386303
57  0.0096                   0.53                     0.386303
58  0.0096                   0.54                     0.386303
59  0.0096                   0.55                     0.386303
60  0.0096                   0.56                     0.386303
61  0.0096                   0.57                     0.386303
62  0.0096                   0.58                     0.386303
63  0.0097                   0.50                     0.387584
64  0.0097                   0.51                     0.387584
65  0.0097                   0.52                     0.387584
66  0.0097                   0.53                     0.387584
67  0.0097                   0.54                     0.387584
68  0.0097                   0.55                     0.387584
69  0.0097                   0.56                     0.387584
70  0.0097                   0.57                     0.387584
71  0.0097                   0.58                     0.387584
72  0.0098                   0.50                     0.387340
73  0.0098                   0.51                     0.387340
74  0.0098                   0.52                     0.387340
75  0.0098                   0.53                     0.387340
76  0.0098                   0.54                     0.387340
77  0.0098                   0.55                     0.387340
78  0.0098                   0.56                     0.387340
79  0.0098                   0.57                     0.387340
80  0.0098                   0.58                     0.387340
81  0.0099                   0.50                     0.385834
82  0.0099                   0.51                     0.385834
83  0.0099                   0.52                     0.385834
84  0.0099                   0.53                     0.385834
85  0.0099                   0.54                     0.385834
86  0.0099                   0.55                     0.385834
87  0.0099                   0.56                     0.385834
88  0.0099                   0.57                     0.385834
89  0.0099                   0.58                     0.385834
